Image,Ear_Detected,Area_Percent,Num_Detections,Guide_Generated
100gr (10).png,False,0.00,0,No
100gr (11).png,False,0.00,0,No
100gr (12).png,False,0.00,0,No
100gr (13).png,False,0.00,0,No
100gr (2).png,False,0.00,0,No
100gr (3).png,True,20.06,1,Yes
100gr (4).png,False,0.00,0,No
100gr (5).png,False,0.00,0,No
100gr (6).png,False,0.00,0,No
100gr (7).png,False,0.00,0,No
100gr (8).png,False,0.00,0,No
100gr (9).png,False,0.00,0,No
100gr.png,False,0.00,0,No
100rfb (10).png,False,0.00,0,No
100rfb (11).png,False,0.00,0,No
100rfb (12).png,True,22.57,1,Yes
100rfb (13).png,True,29.22,1,Yes
100rfb (2).png,True,20.76,3,Yes
100rfb (3).png,True,20.27,1,Yes
100rfb (4).png,False,0.00,0,No
100rfb (5).png,False,0.00,0,No
100rfb (6).png,False,0.00,0,No
100rfb (7).png,False,0.00,0,No
100rfb (8).png,False,0.00,0,No
100rfb (9).png,False,0.00,0,No
100rfb.png,True,15.00,1,Yes
81gr (10).png,False,0.00,0,No
81gr (11).png,False,0.00,0,No
81gr (12).png,True,18.65,1,Yes
81gr (13).png,False,0.00,0,No
81gr (2).png,False,0.00,0,No
81gr (3).png,True,20.58,1,Yes
81gr (4).png,False,0.00,0,No
81gr (5).png,False,0.00,0,No
81gr (6).png,False,0.00,0,No
81gr (7).png,False,0.00,0,No
81gr (8).png,False,0.00,0,No
81gr (9).png,False,0.00,0,No
81gr.png,False,0.00,0,No
81rfb (10).png,True,11.61,1,Yes
81rfb (11).png,False,0.00,0,No
81rfb (12).png,True,17.65,1,Yes
81rfb (13).png,False,0.00,0,No
81rfb (2).png,False,0.00,0,No
81rfb (3).png,True,24.25,1,Yes
81rfb (4).png,False,0.00,0,No
81rfb (5).png,True,21.85,2,Yes
81rfb (6).png,True,14.06,1,Yes
81rfb (7).png,True,17.15,1,Yes
81rfb (8).png,True,23.25,2,Yes
81rfb (9).png,True,16.87,1,Yes
81rfb.png,True,17.75,3,Yes
82gr (10).png,True,20.57,1,Yes
82gr (11).png,False,0.00,0,No
82gr (12).png,True,21.61,1,Yes
82gr (13).png,False,0.00,0,No
82gr (2).png,False,0.00,0,No
82gr (3).png,False,0.00,0,No
82gr (4).png,True,5.84,1,Yes
82gr (5).png,False,0.00,0,No
82gr (6).png,False,0.00,0,No
82gr (7).png,False,0.00,0,No
82gr (8).png,False,0.00,0,No
82gr (9).png,False,0.00,0,No
82gr.png,True,16.23,1,Yes
82rfb (10).png,False,0.00,0,No
82rfb (11).png,False,0.00,0,No
82rfb (12).png,False,0.00,0,No
82rfb (13).png,False,0.00,0,No
82rfb (2).png,False,0.00,0,No
82rfb (3).png,False,0.00,0,No
82rfb (4).png,True,18.37,1,Yes
82rfb (5).png,True,25.11,2,Yes
82rfb (6).png,False,0.00,0,No
82rfb (7).png,True,15.48,1,Yes
82rfb (8).png,False,0.00,0,No
82rfb (9).png,True,24.22,3,Yes
82rfb.png,True,15.05,2,Yes
83gr (10).png,False,0.00,0,No
83gr (11).png,False,0.00,0,No
83gr (12).png,True,20.28,2,Yes
83gr (13).png,False,0.00,0,No
83gr (2).png,False,0.00,0,No
83gr (3).png,False,0.00,0,No
83gr (4).png,True,24.31,1,Yes
83gr (5).png,False,0.00,0,No
83gr (6).png,False,0.00,0,No
83gr (7).png,False,0.00,0,No
83gr (8).png,False,0.00,0,No
83gr (9).png,False,0.00,0,No
83gr.png,False,0.00,0,No
83rfb (10).png,True,24.47,1,Yes
83rfb (11).png,False,0.00,0,No
83rfb (12).png,True,22.20,2,Yes
83rfb (13).png,False,0.00,0,No
83rfb (2).png,True,23.57,1,Yes
83rfb (3).png,True,17.65,1,Yes
83rfb (4).png,True,24.24,1,Yes
83rfb (5).png,False,0.00,0,No
83rfb (6).png,True,21.15,1,Yes
83rfb (7).png,True,16.96,1,Yes
83rfb (8).png,False,0.00,0,No
83rfb (9).png,False,0.00,0,No
83rfb.png,False,0.00,0,No
84gr (10).png,False,0.00,0,No
84gr (11).png,False,0.00,0,No
84gr (12).png,False,0.00,0,No
84gr (13).png,False,0.00,0,No
84gr (2).png,False,0.00,0,No
84gr (3).png,False,0.00,0,No
84gr (4).png,False,0.00,0,No
84gr (5).png,False,0.00,0,No
84gr (6).png,False,0.00,0,No
84gr (7).png,True,17.92,1,Yes
84gr (8).png,False,0.00,0,No
84gr (9).png,False,0.00,0,No
84gr.png,False,0.00,0,No
84rfb (10).png,False,0.00,0,No
84rfb (11).png,False,0.00,0,No
84rfb (12).png,True,21.24,2,Yes
84rfb (13).png,True,24.33,1,Yes
84rfb (2).png,True,18.58,1,Yes
84rfb (3).png,False,0.00,0,No
84rfb (4).png,False,0.00,0,No
84rfb (5).png,True,23.56,1,Yes
84rfb (6).png,True,24.04,1,Yes
84rfb (7).png,True,19.95,1,Yes
84rfb (8).png,False,0.00,0,No
84rfb (9).png,True,24.85,1,Yes
84rfb.png,True,22.76,1,Yes
85gr (10).png,False,0.00,0,No
85gr (11).png,False,0.00,0,No
85gr (12).png,False,0.00,0,No
85gr (13).png,False,0.00,0,No
85gr (2).png,False,0.00,0,No
85gr (3).png,False,0.00,0,No
85gr (4).png,False,0.00,0,No
85gr (5).png,False,0.00,0,No
85gr (6).png,False,0.00,0,No
85gr (7).png,False,0.00,0,No
85gr (8).png,False,0.00,0,No
85gr (9).png,False,0.00,0,No
85gr.png,False,0.00,0,No
85rfb (10).png,False,0.00,0,No
85rfb (11).png,True,23.44,1,Yes
85rfb (12).png,True,18.10,1,Yes
85rfb (13).png,True,23.12,1,Yes
85rfb (2).png,False,0.00,0,No
85rfb (3).png,False,0.00,0,No
85rfb (4).png,False,0.00,0,No
85rfb (5).png,False,0.00,0,No
85rfb (6).png,False,0.00,0,No
85rfb (7).png,False,0.00,0,No
85rfb (8).png,True,12.51,1,Yes
85rfb (9).png,False,0.00,0,No
85rfb.png,True,25.45,1,Yes
86gr (10).png,False,0.00,0,No
86gr (11).png,True,11.11,1,Yes
86gr (12).png,False,0.00,0,No
86gr (13).png,False,0.00,0,No
86gr (2).png,False,0.00,0,No
86gr (3).png,False,0.00,0,No
86gr (4).png,False,0.00,0,No
86gr (5).png,False,0.00,0,No
86gr (6).png,False,0.00,0,No
86gr (7).png,False,0.00,0,No
86gr (8).png,False,0.00,0,No
86gr (9).png,False,0.00,0,No
86gr.png,False,0.00,0,No
86rfb (10).png,False,0.00,0,No
